AverageIDF,runTimes,edgeCounts,nodeCounts,groundTruths,resultComms,correctComms
0,1.2000842094421387,5551,421,0.02688910696761531,179,19
1,5.639688014984131,19696,1650,0.004891931103753581,771,46
2,3.1368696689605713,13466,1073,0.0016436818473380371,485,34
3,5.6533753871917725,24377,1979,0.0024805284939464823,951,50
4,4.912757873535156,14320,1151,0.016627502305244058,507,33
5,9.853704929351807,22669,1943,0.016153811395779677,810,43
6,1.8803822994232178,7967,634,0.012921525370312008,275,21
7,3.417701005935669,12457,1008,0.004294127269752986,447,30
8,2.419466257095337,8863,695,0.00372560136065441,303,25
9,4.592201232910156,8409,693,0.042113070710400526,280,25
10,1.2109594345092773,5886,435,0.012992125984251968,182,21
11,1.1687121391296387,5726,429,0.009391304347826087,171,18
12,5.901073932647705,21026,1647,0.008512874408828166,747,29
13,4.905499458312988,17495,1363,0.0068775790921595595,623,35
14,3.663686513900757,12912,1040,0.014628657164291074,466,29
15,8.594159126281738,22999,1937,0.013042708227912155,860,47
16,4.738110065460205,23364,1751,0.0009747041076815967,811,44
17,4.767060995101929,20318,1587,0.002034354808670363,733,33
18,7.178461313247681,21292,1665,0.013826633463773271,754,53
19,1.6292119026184082,7287,605,0.05114120655365091,234,21
