Modularity,runTimes,edgeCounts,nodeCounts,groundTruths,resultComms,correctComms
0,10.874817609786987,5551,421,0.1146119222746734,26,19
1,421.19704151153564,19696,1650,0.08183265053494061,30,46
2,138.63515496253967,13466,1073,0.032209036525460824,159,34
3,674.3032252788544,24377,1979,0.03858338180679225,63,50
4,155.70990562438965,14320,1151,0.2860360809329214,37,33
5,627.2073032855988,22669,1943,0.04676959674089512,1,43
6,25.89755344390869,7967,634,0.09659937117325831,31,21
7,107.04210305213928,12457,1008,0.04161416330645161,42,30
8,43.29577445983887,8863,695,0.02942829049023739,50,25
9,16.820292711257935,8409,693,0.3447528490526463,83,25
10,11.087920665740967,5886,435,0.05103125664469488,32,21
11,15.618648767471313,5726,429,0.04516072676450035,22,18
12,346.61654114723206,21026,1647,0.29941819640886747,43,29
13,151.72346329689026,17495,1363,0.08622355276707326,79,35
14,167.97302389144897,12912,1040,0.17850082176118906,29,29
15,153.11474800109863,22999,1937,0.30025786142460065,261,47
16,581.7425656318665,23364,1751,0.03027308659719727,46,44
17,309.15473675727844,20318,1587,0.03628343592957106,91,33
18,373.22326946258545,21292,1665,0.15157398266973784,52,53
19,12.213585376739502,7287,605,0.3008413359394918,81,21
